epoch,flavour_accuracy,flavour_loss,interaction_accuracy,interaction_loss,is_antineutrino_accuracy,is_antineutrino_loss,loss,lr,neutrons_accuracy,neutrons_loss,pions_accuracy,pions_loss,pizeros_accuracy,pizeros_loss,protons_accuracy,protons_loss,val_flavour_accuracy,val_flavour_loss,val_interaction_accuracy,val_interaction_loss,val_is_antineutrino_accuracy,val_is_antineutrino_loss,val_loss,val_neutrons_accuracy,val_neutrons_loss,val_pions_accuracy,val_pions_loss,val_pizeros_accuracy,val_pizeros_loss,val_protons_accuracy,val_protons_loss
0,0.7948061227798462,0.5335782766342163,0.6688336133956909,0.4647483825683594,0.48102158308029175,0.04350817948579788,3.478609541917562,0.1,0.4439083933830261,0.8230656385421753,0.8182153105735779,0.44001907110214233,0.8771228194236755,0.2831239104270935,0.41479483246803284,0.8211747407913208,0.8272049427032471,0.4487617313861847,0.7197921872138977,0.4244697093963623,0.482412725687027,0.04296896234154701,3.1816160995678207,0.43031853437423706,0.7865973114967346,0.8315691947937012,0.4027217924594879,0.9002735614776611,0.2359430491924286,0.45665058493614197,0.7626093029975891
1,0.8423774242401123,0.41841939091682434,0.6797870397567749,0.40523961186408997,0.4810596704483032,0.04101637005805969,3.0428255435849225,0.095,0.428228497505188,0.765233039855957,0.834885835647583,0.38410043716430664,0.9035946726799011,0.22718094289302826,0.49445343017578125,0.7241714596748352,0.8474302887916565,0.40800920128822327,0.6906754970550537,0.3980472683906555,0.48216843605041504,0.04224110394716263,3.0190400698956505,0.43197953701019287,0.7554978728294373,0.8355100154876709,0.3887564539909363,0.8944274187088013,0.23568056523799896,0.5042991042137146,0.7137982249259949
2,0.8587177395820618,0.37864887714385986,0.6837533116340637,0.383894681930542,0.4810633063316345,0.04020596668124199,2.87435645858764,0.09025,0.43646398186683655,0.7423104643821716,0.8439378142356873,0.3601874113082886,0.9136971235275269,0.2080180048942566,0.5319149494171143,0.6840797662734985,0.8575104475021362,0.377794474363327,0.6236320734024048,0.38428476452827454,0.48272213339805603,0.04066640883684158,2.852221782099399,0.4378582537174225,0.733359694480896,0.774605929851532,0.36309242248535156,0.9138548970222473,0.20346666872501373,0.5773515105247498,0.6735605597496033
3,0.8676825761795044,0.35611793398857117,0.6878973245620728,0.37006455659866333,0.4810723662376404,0.03939925506711006,2.7668943155932073,0.0857375,0.44478654861450195,0.7266567945480347,0.8500214219093323,0.34358668327331543,0.9197626113891602,0.19623781740665436,0.5558992624282837,0.6586025357246399,0.8321880102157593,0.4575669765472412,0.7169261574745178,0.3787972629070282,0.4823313057422638,0.040786322206258774,2.91579823577199,0.4739284813404083,0.7432828545570374,0.8460135459899902,0.348234623670578,0.9201244115829468,0.20394083857536316,0.5524361729621887,0.6675124168395996
4,0.8750017881393433,0.3384017050266266,0.6897825002670288,0.3598535656929016,0.48107054829597473,0.03899899125099182,2.685361343118509,0.08145062,0.45036759972572327,0.7143174409866333,0.8557403683662415,0.33074647188186646,0.9239138960838318,0.18737611174583435,0.567491352558136,0.6399714946746826,0.874022901058197,0.33730775117874146,0.6893889904022217,0.36683449149131775,0.482282429933548,0.04038858786225319,2.699309605245108,0.4483780562877655,0.7148997187614441,0.8627703189849854,0.3342196047306061,0.9241141080856323,0.18799443542957306,0.53107088804245,0.6425976753234863
5,0.8804667592048645,0.3246106803417206,0.691522479057312,0.35139575600624084,0.48106148838996887,0.038658883422613144,2.6196455387196096,0.07737809,0.45600125193595886,0.704984724521637,0.8598572015762329,0.31997114419937134,0.9268369078636169,0.18036150932312012,0.5807580947875977,0.6244543790817261,0.8786965608596802,0.32939255237579346,0.6840150952339172,0.3619031310081482,0.48291754722595215,0.04003513604402542,2.655157253417949,0.45463132858276367,0.7060998678207397,0.852983295917511,0.3264293968677521,0.9255634546279907,0.1833679974079132,0.5692418217658997,0.6331349611282349
6,0.8853455781936646,0.3126143217086792,0.6917220950126648,0.34382182359695435,0.48107054829597473,0.038457345217466354,2.5603766661953515,0.07350918,0.4603267312049866,0.6955335736274719,0.8642552495002747,0.31047695875167847,0.9297035932540894,0.1740298569202423,0.5901693105697632,0.6104823350906372,0.8828654289245605,0.31947413086891174,0.6905940771102905,0.3562653660774231,0.48286867141723633,0.04004361107945442,2.6281996042297306,0.45658546686172485,0.7031121850013733,0.8474140167236328,0.325367271900177,0.9264265298843384,0.1830248385667801,0.6123469471931458,0.6261225938796997
7,0.889696478843689,0.30178284645080566,0.6926836967468262,0.33732596039772034,0.48107054829597473,0.038320500403642654,2.508186986813245,0.06983372,0.4647955596446991,0.6869975328445435,0.8690832853317261,0.3021959960460663,0.9322818517684937,0.168440580368042,0.5934932827949524,0.5981354713439941,0.8821000456809998,0.3188716471195221,0.7067157626152039,0.3601444959640503,0.4820707440376282,0.03989292308688164,2.6466694895708045,0.45616206526756287,0.7095264196395874,0.8656689524650574,0.32461297512054443,0.9246677756309509,0.18193668127059937,0.5844189524650574,0.637073814868927
8,0.8931601643562317,0.2924777567386627,0.6934692859649658,0.3311099410057068,0.48107782006263733,0.03819488361477852,2.4601540195295475,0.06634203,0.46926257014274597,0.6791312098503113,0.8738152384757996,0.29431310296058655,0.9343810677528381,0.16332188248634338,0.6011009812355042,0.5866802334785461,0.8723456263542175,0.34714004397392273,0.6876139640808105,0.36018106341362,0.4823964238166809,0.040076278150081635,2.6420468131721857,0.45796963572502136,0.7014408707618713,0.8551328778266907,0.3184962868690491,0.9247491955757141,0.18233583867549896,0.5894997119903564,0.6177255511283875
9,0.9029468894004822,0.2689377963542938,0.697941780090332,0.3167863190174103,0.4811050295829773,0.0377311035990715,2.34210463289419,0.006302493,0.4775107502937317,0.6598302721977234,0.8838070034980774,0.2752651572227478,0.9400147199630737,0.1515156626701355,0.6122485399246216,0.5572275519371033,0.8881416320800781,0.30425286293029785,0.6947628855705261,0.3458644449710846,0.48208701610565186,0.04041552171111107,2.5508178994952546,0.4625130295753479,0.6909129619598389,0.8684698939323425,0.31048130989074707,0.9295368790626526,0.1775847226381302,0.5786216855049133,0.6063907146453857
